dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner,p_holm_per_baseline_family1
sepsis,branch_swap,J48,False,270,3.9128780106711375e-46,9.51563781950661e-46,0.2743984752170736,0.2482820682936127,0.294206742622519,RulesRepair,3.9128780106711375e-46
sepsis,branch_swap,REPTree,False,270,3.1718792731688702e-46,9.51563781950661e-46,0.1338972855813692,0.1268391414891044,0.146833064516129,RulesRepair,3.1718792731688702e-46
sepsis,change_threshold,CART,False,120,3.6417820087122243e-22,1.0925346026136673e-21,0.1726577525780925,0.1500514049445348,0.2066412207694627,RulesRepair,3.6417820087122243e-22
sepsis,change_threshold,J48,False,120,1.105058313587418e-21,1.105058313587418e-21,0.3079166297522345,0.266189782396847,0.3408990897407891,RulesRepair,1.105058313587418e-21
sepsis,change_threshold,REPTree,False,120,3.6417820087122243e-22,1.0925346026136673e-21,0.1347208303251884,0.1247601234425987,0.1789141935483871,RulesRepair,3.6417820087122243e-22
sepsis,change_feature,CART,False,270,4.283189171356792e-46,1.2849567514070376e-45,0.2066412207694627,0.1936066419953482,0.2099975836714172,RulesRepair,4.283189171356792e-46
sepsis,change_feature,J48,False,270,4.513298174839871e-46,1.2849567514070376e-45,0.294206742622519,0.2746901499862061,0.3110581848200249,RulesRepair,4.513298174839871e-46
sepsis,change_feature,REPTree,False,270,4.305809099355067e-46,1.2849567514070376e-45,0.1524586021505376,0.1373293391725898,0.1587529032258064,RulesRepair,4.305809099355067e-46
sepsis,regrow_leaf,CART,False,360,1.3637359796673394e-60,4.0912079390020183e-60,0.2687865026040322,0.2596076595024821,0.2770556626408001,RulesRepair,1.3637359796673394e-60
sepsis,regrow_leaf,J48,False,360,1.3662225846758062e-60,4.0912079390020183e-60,0.34936225536309,0.3368457233341683,0.3615562855626953,RulesRepair,1.3662225846758062e-60
sepsis,regrow_leaf,REPTree,False,360,1.3645226237049615e-60,4.0912079390020183e-60,0.2445204028855315,0.2361255251046224,0.2529887096774194,RulesRepair,1.3645226237049615e-60
sepsis,regrow_internal,CART,False,300,6.051556138532479e-51,1.811313850501242e-50,0.249269873525142,0.2371181959154618,0.2606526293690688,RulesRepair,6.051556138532479e-51
sepsis,regrow_internal,J48,False,300,6.058262031869878e-51,1.811313850501242e-50,0.3232193650371672,0.3101390979054639,0.3368786313790936,RulesRepair,6.058262031869878e-51
sepsis,regrow_internal,REPTree,False,300,6.03771283500414e-51,1.811313850501242e-50,0.1975242071593848,0.1860570781008665,0.2089168474230626,RulesRepair,6.03771283500414e-51
